Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
road_vor_93af19ad		Чем бы заняться думали вы?	game/script.rpy	194	"[what]"
road_vor_1d3bef31		Первое что пришло на ум	game/script.rpy	195	"[what]"
road_vor_bf266700		Полазить по крыше	game/script.rpy	196	"[what]"
parkyr_e7620f6b		Вы решили полазить по конюшне	game/script.rpy	201	"[what]"
parkyr_8427b676		Вы лазили пока вас не попытался прогнать конюх	game/script.rpy	202	"[what]"
parkyr_33f783f7		Но вы не слушались	game/script.rpy	203	"[what]"
parkyr_de81423b		В итоге вас наказали	game/script.rpy	204	"[what]"
parkyr_6e7934c0		Заставили прибераться в конюшне	game/script.rpy	205	"[what]"
event_3_4342af4c		Спустя один день вы гуляете на улице	game/script.rpy	210	"[what]"
event_3_4bd5ff8d		Читая книжку о запретной магии	game/script.rpy	212	"[what]"
event_3_0f261809		Вы махаетесь палкой представляя из себя рыцаря	game/script.rpy	215	"[what]"
event_3_37d58dae		Вы забрались на дерево чтобы собрать яблоки	game/script.rpy	218	"[what]"
event_3_c3245e28		Вам уже целых 8 лет	game/script.rpy	222	"[what]"
school123_a4e09727	m	Ты очень талантливый ребенок и тебе надо учиться в престижных школах нашей страны	game/script.rpy	232	m "[what]"
school123_5aa6ea5a	g	Мы долго не увидимся?	game/script.rpy	233	g "[what]"
school123_feb17141	p	Да, Аерай	game/script.rpy	238	p "[what]"
school123_a1154e18		Вас отправляют в столицу "Мейджтаун"	game/script.rpy	244	"[what]"
school123_d28ce0ac		Вы тут будете учиться	game/script.rpy	245	"[what]"
school123_d570202e		Но делать нечего, надо учиться	game/script.rpy	246	"[what]"
school123_9f1b8513		Вас встречают "с хлебом и солью"	game/script.rpy	249	"[what]"
school123_58b416fd		Вам показали где комната	game/script.rpy	252	"[what]"
school123_6938c93e		Вы осмотрели комнату 	game/script.rpy	253	"[what]"
sleep_1_21b68833		Вы засыпаете в грусти	game/script.rpy	261	"[what]"
move_1_d90d4195		Вы решаете погулять во дворе	game/script.rpy	267	"[what]"
move_1_540cc6a0		Вы гуляли и любовались видами	game/script.rpy	268	"[what]"
move_1_18623f3e		К вам подошла какая-то девочка	game/script.rpy	269	"[what]"
move_1_80ff9275	'Девочка'	Привет, как тебя зовут	game/script.rpy	274	'Девочка' "[what]"
move_1_2fdd661a	g	Аерай	game/script.rpy	275	g "[what]"
move_1_480dbe7e	'Девочка'	Красивое имя	game/script.rpy	276	'Девочка' "[what]"
move_1_625b2ce3		Мы разговаривали в течении...	game/script.rpy	278	"[what]"
move_1_546f89bd		Часа?	game/script.rpy	279	"[what]"
move_1_bf645ebd		Она пошла домой и сказала, что еще увидимся	game/script.rpy	280	"[what]"
move_1_5b2752be		Когда?	game/script.rpy	281	"[what]"
move_1_0ed700b5		Но меня волновало то что я в неизвестном мне городе, так еще и стемнело	game/script.rpy	282	"[what]"
move_1_9dbe3543		Но вы добрались до дома и легли спать	game/script.rpy	283	"[what]"
move_1_345ac1a6		Уже утро и вы замечаете что на столе появились учебники	game/script.rpy	285	"[what]"
move_1_1715d859		Ествество-магия, алхимия, фехтование...	game/script.rpy	286	"[what]"
move_1_9c421031		Откуда они взялись, вы не знаете	game/script.rpy	287	"[what]"
move_1_196c8b27		Но вы не обратили внимание и взяли их все	game/script.rpy	288	"[what]"
move_1_6d525f1b		Вы шли в школу рассматривая птиц, которые весело пели свои звонкие песенки	game/script.rpy	289	"[what]"
move_1_7707c17c		Вы уже в классе	game/script.rpy	290	"[what]"
school_1_668f4389		И вот первый учебный день	game/script.rpy	295	"[what]"
school_1_c2c5b939		Я не сильно волновался	game/script.rpy	296	"[what]"
school_1_e5a72a9c		У меня спросили кем я буду	game/script.rpy	297	"[what]"
school_1_f034b4d6		И вот первый урок	game/script.rpy	311	"[what]"
school_1_975c6e42		Арифметика	game/script.rpy	312	"[what]"
school_1_72795026		Нас сразу проверяли на способность к счету	game/script.rpy	313	"[what]"
school_1_e1b00ef6		Я сдал на 4	game/script.rpy	314	"[what]"
lesson_0f759fab		Второй урок	game/script.rpy	316	"[what]"
lesson_e2aa0b90		Зельеварение	game/script.rpy	317	"[what]"
x_f8b7ff16		Вместо того, чтобы идти на урок	game/script.rpy	326	"[what]"
x_8516f171		Вы решили погулять с Розалией	game/script.rpy	327	"[what]"
x_b0c5179a		Вы искали её в течении 30-40 минут	game/script.rpy	328	"[what]"
x_a9a33b6b		Вы так и не нашли	game/script.rpy	329	"[what]"
y_237540e8		Вы пришли в класс алхимии	game/script.rpy	334	"[what]"
y_a8dd60e0		В классе все лежало очень аккуратно	game/script.rpy	335	"[what]"
y_c7cab5f0		Вам сказали сделать зелье которое улучшало ваши способности	game/script.rpy	336	"[what]"
y_1ee032d3		Вы решили не слушать учителя и добавили в легущачий отвар...	game/script.rpy	337	"[what]"
y_8baf50a4		Вы угадали с ингредиентами	game/script.rpy	340	"[what]"
y_d25a9b55		И в итоге вы сварили зелье, повышающее характеристики	game/script.rpy	341	"[what]"
y_a63f309b		Вы сварили жидкую бомбу	game/script.rpy	346	"[what]"
y_fe50fa16		Точней то, что вы сварили начало гореть	game/script.rpy	347	"[what]"
y_368e36fc		Учитель вывел всех из класса и вы услышали хлопок	game/script.rpy	348	"[what]"
y_0f319036		Вас больше не допускали до реагентов	game/script.rpy	349	"[what]"
nes122_0e40754c		После урока алхимии начался урок фехтования	game/script.rpy	356	"[what]"
nes122_01bdfb7a		Кто-бы мог подумать что нас заставят палками бить друг друга	game/script.rpy	357	"[what]"
nes122_020bdff0		Вы оказались сильнее всех присутствующих в классе	game/script.rpy	359	"[what]"
nes122_df767a46		Вы владели палкой как настоящим мечом	game/script.rpy	360	"[what]"
nes122_79da58bb		Даже учитель удивился вашим способностям, которыми вы владеете всего в 8 лет	game/script.rpy	361	"[what]"
nes122_42d905d9		Вы мало на что были способны в честной битве 1 на 1	game/script.rpy	363	"[what]"
nes122_3aa7f6c9		Ну и наконец уроки кончились	game/script.rpy	365	"[what]"
nes122_c45777d6		Вас встретила та самая девочка которую вы видели вчера	game/script.rpy	372	"[what]"
gulat_bc0e0089		Вы решили прошвырнуться по рынку	game/script.rpy	384	"[what]"
gulat_7d1986bb		Вы расспрашивали девочку где и что здесь можно купить	game/script.rpy	385	"[what]"
gulat_8a0b4cd9		Она с улыбкой сказала	game/script.rpy	386	"[what]"
gulat_d67b4280	'Девочка'	Смотря что тебе нравиться	game/script.rpy	387	'Девочка' "[what]"
gulat_a3285745	'Девочка'	Вот тут есть мечи, тут посохи, тут одежда	game/script.rpy	388	'Девочка' "[what]"
gulat_2c717352	'Девочка'	А вот туда нельзя	game/script.rpy	389	'Девочка' "[what]"
gulat_54a8e931	g	Почему?	game/script.rpy	390	g "[what]"
gulat_3905e0f1	'Девочка'	Не знаю, мне говорят что я еще маленькая	game/script.rpy	391	'Девочка' "[what]"
gulat_ca9225df	g	А ты хочешь посмотреть что там?	game/script.rpy	392	g "[what]"
gulat_e2eeab17	'Девочка'	Конечно	game/script.rpy	393	'Девочка' "[what]"
yes_1_3ed7b2ec		Вы пробираетесь в запрещенную часть рынка	game/script.rpy	404	"[what]"
yes_1_5182ec3b		Также продавали сведенья о всяких людях	game/script.rpy	405	"[what]"
yes_1_8859b969		Вы ходили минут 5	game/script.rpy	406	"[what]"
yes_1_a7f0a384		Пока девочка не сказала вам, что стоит уходить	game/script.rpy	407	"[what]"
yes_1_501e5ec0		Вы послушались и пошли домой	game/script.rpy	408	"[what]"
yes_1_baf1bcd0		Вам отвесили подзатыльник и вы вернулись домой	game/script.rpy	411	"[what]"
no_1_69543e5b		Вы решили не лезть туда	game/script.rpy	415	"[what]"
no_1_477077a1		Вы гуляли с девочкой и решили расходиться по домам	game/script.rpy	416	"[what]"
nogulat_fc948e18		Вы пошли сразу домой	game/script.rpy	421	"[what]"
nogulat_ebc16c77		Дома вы почитали все учебники по...	game/script.rpy	424	"[what]"
nogulat_9a5170f9		Ествество-магии, теперь если поджечь камень, он расстает	game/script.rpy	427	"[what]"
nogulat_84b10e37		По фехтованию и выучили пару приемов	game/script.rpy	432	"[what]"
nogulat_28d7b702		Запретной магии и научились приглушать звуки	game/script.rpy	436	"[what]"
nogulat_2843bd79		После чтения вы решили лечь спать	game/script.rpy	439	"[what]"
school_2_431347be		Уже второй школьный день и вы встретили ту девочку	game/script.rpy	446	"[what]"
school_2_cf6aa00d		Я захотел узнать ее имя	game/script.rpy	447	"[what]"
school_2_540c34da		Ее зовут Розалия, она из северных округов	game/script.rpy	448	"[what]"
school_2_d2576cee		Первым уроком была Естевство-магия	game/script.rpy	449	"[what]"
school_2_47929c3b		Все выделывались своей магией	game/script.rpy	450	"[what]"
school_2_372e7e1a		Вы стрельнули фаер бол прямо в окно	game/script.rpy	454	"[what]"
school_2_ff646d8f		Вы попытались стрельнуть фаер болл но вместо этого вы сделали пожар	game/script.rpy	456	"[what]"
school_2_21e68880		Вы решили просто слушать что говорит учитель	game/script.rpy	458	"[what]"
school_2_0f759fab		Второй урок	game/script.rpy	461	"[what]"
school_2_3f1e684a		Вы сходили на физру	game/script.rpy	462	"[what]"
school_2_15ca7164		Вы просто прочитали весь урок	game/script.rpy	470	"[what]"
school_2_17c445bc		Третий урок	game/script.rpy	473	"[what]"
school_2_86459083		Стрельба из лука	game/script.rpy	474	"[what]"
school_2_85afcc32		Вы стреляли отменно	game/script.rpy	476	"[what]"
school_2_9463c79c		Девочки только и глядели на вас	game/script.rpy	477	"[what]"
school_2_e1772c98		Вы стреляли хуже всех	game/script.rpy	479	"[what]"
school_2_db495dc9		Но вы все равно станете сильнее их всех	game/script.rpy	480	"[what]"
school_2_bfbee10b		Наверно	game/script.rpy	481	"[what]"
school_2_460bc293		Вы возращаетесь домой	game/script.rpy	482	"[what]"
NewStart_4_0d121c94		Наступили каникулы !	game/script.rpy	487	"[what]"
NewStart_4_8085f1ff		Ты идешь гулять с Розой	game/script.rpy	491	"[what]"
NewStart_4_6182731d		Она рассказывала что то интересное	game/script.rpy	492	"[what]"
NewStart_4_7bf6524b	s	Аерай, ты меня слушаешь!?	game/script.rpy	497	s "[what]"
NewStart_4_37b33a0f	g	Конечно, ты рассказывала про выдр	game/script.rpy	498	g "[what]"
NewStart_4_16335cd1	s	Про медведей...	game/script.rpy	499	s "[what]"
NewStart_4_05f5b0d6	g	Я просто задумался	game/script.rpy	500	g "[what]"
NewStart_4_8822e329	s	И о чем же?	game/script.rpy	501	s "[what]"
NewStart_4_9462710a	g	Да так не о чем	game/script.rpy	502	g "[what]"
NewStart_4_f2bd0465	s	Ну ты и загадочный, Аерай	game/script.rpy	503	s "[what]"
NewStart_4_8945dd47		После прогулки с Розой, ты пошел домой	game/script.rpy	505	"[what]"
NewStart_4_547f2674		Но ты просто сидел дома	game/script.rpy	508	"[what]"
NewStart_4_b941fa9d		На улице был прекрасный, солнечный денек	game/script.rpy	509	"[what]"
NewStart_4_4db21efc		Но вы все равно сидели дома потому, что смысла выходить на улицу не было	game/script.rpy	510	"[what]"
NewStart_1_0548290a		Вам уже 12 лет	game/script.rpy	516	"[what]"
NewStart_1_dfa92d4c		В школе одно и тоже, вас ничему не могут там научить	game/script.rpy	517	"[what]"
NewStart_1_1aee3375		Вы часто гуляете по улицам столицы	game/script.rpy	518	"[what]"
NewStart_1_10a7ca0c		И часто на вас смотрят косо	game/script.rpy	519	"[what]"
NewStart_1_4ca761bb		Почему?	game/script.rpy	521	"[what]"
NewStart_1_eef75e06		Они и сами не знают	game/script.rpy	522	"[what]"
NewStart_1_e1a90f81		Спустя дней 5 на столицу нападают	game/script.rpy	524	"[what]"
NewStart_1_a3d9ba05		Вас закрывают в комнате на замок и сказали чтобы вы ничего не делали и сидели смирно	game/script.rpy	525	"[what]"
yes_2_2caffeee		Вы взломали замок	game/script.rpy	536	"[what]"
yes_2_fae59fd6		И пошли к вратам	game/script.rpy	537	"[what]"
yes_2_b0a404e7		На эту столицу напали мечники из страны Брандворт	game/script.rpy	538	"[what]"
yes_2_8913a8d0		Вы решаете помочь страже	game/script.rpy	539	"[what]"
yes_2_d80f6aab		Вы успешно помогаете отбить город	game/script.rpy	542	"[what]"
yes_2_4a2530ab		Вас благодарят	game/script.rpy	543	"[what]"
yes_2_afaaa06f		Вы возвращаетесь в свою комнату	game/script.rpy	550	"[what]"
yes_2_880ea80c		И к вам приходит учитель	game/script.rpy	551	"[what]"
yes_2_f82fb905	d	Поздравляю, Аерай	game/script.rpy	556	d "[what]"
yes_2_5911d8b3	d	Вы закончили учебный курс в нашей школе	game/script.rpy	557	d "[what]"
yes_2_6b08a90b	d	Так еще и оказались самым успешным в нашей школе	game/script.rpy	558	d "[what]"
yes_2_e17acfcd	g	Серьезно?	game/script.rpy	559	g "[what]"
yes_2_792c7fd7	d	Но здесь опасно и вам через неделю стоит вернуться к вашей семье	game/script.rpy	560	d "[what]"
yes_2_797583b0	d	Поэтому попрощайтесь со всеми и подготовьтесь	game/script.rpy	561	d "[what]"
yes_2_89a234cc		После обучения в школе вы возвращаетесь в вашу семью	game/script.rpy	566	"[what]"
yes_2_f1a538b2		Вас встречают недовольные лица	game/script.rpy	567	"[what]"
yes_2_d6597878		Которые являются вашими родителями	game/script.rpy	568	"[what]"
yes_2_36ee9ffe		Прислуги привели вас в обеденный зал	game/script.rpy	569	"[what]"
yes_2_e54817f1		Где вы кушали и отвечали на вопросы, которые задавали вам родители	game/script.rpy	570	"[what]"
yes_2_f287c781	p	Как прошло обучение, Аерай	game/script.rpy	575	p "[what]"
yes_2_a70d5af4	g	Я оказался лучшим из лучших	game/script.rpy	576	g "[what]"
yes_2_4e2da7c0	m	Это конечно хорошо, но наша семья в нехорошем финансовом положении	game/script.rpy	581	m "[what]"
yes_2_5e55cb79	p	Если кратко, найди себе работу, Аерай	game/script.rpy	586	p "[what]"
yes_2_4a5e86b7	g	Но я только приехал...	game/script.rpy	587	g "[what]"
yes_2_72880c53	p	Это не обсуждается	game/script.rpy	592	p "[what]"
yes_2_8b1bd5a3	p	Либо работай, либо выметайся из этого дома	game/script.rpy	593	p "[what]"
yes_2_a41d3401		Вы вышли из комнаты и вы встретились взглядами с какой-то девочкой лет 14	game/script.rpy	595	"[what]"
yes_2_c98e5ac4	g	Это кто?!	game/script.rpy	596	g "[what]"
yes_2_66cdeb3c	m	Это горничная	game/script.rpy	597	m "[what]"
yes_2_a4334ed6	n	Здравствуйте	game/script.rpy	602	n "[what]"
yes_2_d56d45d6		Вы не ответил на приветствие просто вышли из комнаты	game/script.rpy	603	"[what]"
yes_2_fc5b1f93		Вы устроились репититором магисческого искусства для королевских особ	game/script.rpy	606	"[what]"
yes_2_53619076		Зарабатывали, вы не плохо	game/script.rpy	607	"[what]"
yes_2_0ab05eba		И в течении года вы успешно помогли родителям с долгами	game/script.rpy	608	"[what]"
yes_2_e05b1c43		Вы устроились в местное ополчение	game/script.rpy	610	"[what]"
yes_2_cefd0648		Работа хоть и хлопотливая, но вам платили достаточно чтобы за год работы на ней удачно вывести семью из долгов	game/script.rpy	611	"[what]"
yes_2_cb68e5e0		Вы работали наемным убийцей	game/script.rpy	613	"[what]"
yes_2_510b8bfc		У вас хорошо получалось и за это вам платили не мало	game/script.rpy	614	"[what]"
yes_2_66e9314c		За год это работы, вы смогли помочь семье с долгами	game/script.rpy	615	"[what]"
NewStart_2_4376c44a		Вам становиться 16 лет	game/script.rpy	619	"[what]"
NewStart_2_21ed9c36		После того как вы успешно помогли семье расплатиться с долгами	game/script.rpy	621	"[what]"
NewStart_2_1619d560		Вы ходили на улице	game/script.rpy	622	"[what]"
NewStart_2_c2404a96		И внезапно встречаете Розалию	game/script.rpy	625	"[what]"
NewStart_2_9009fd7f		Она увидела вас и сразу обняла	game/script.rpy	626	"[what]"
NewStart_2_b8eae1ed	s	Я тебя так давно не видела	game/script.rpy	631	s "[what]"
NewStart_2_483daae4	g	Мне надо так много тебе рассказать!!!	game/script.rpy	632	g "[what]"
NewStart_2_76c078de		И ничего особого не происходило	game/script.rpy	636	"[what]"
NewStart_2_6d679ea2		Ты уходишь домой в одиночестве	game/script.rpy	637	"[what]"
laif_b9f7038e		Ты просыпаешься	game/script.rpy	643	"[what]"
laif_a0d92251		Родители, как всегда сидят, общаются о чем-то не замечая вас	game/script.rpy	644	"[what]"
laif_46da81a2		А ты опять идешь гулять один	game/script.rpy	645	"[what]"
laif_a4cf855a		Вы почувствовали, что за вами следят	game/script.rpy	646	"[what]"
laif_fef8d1fe		Ты решили завернуть за угол	game/script.rpy	647	"[what]"
laif_2d693105		За вами устремился какой-то мальчик	game/script.rpy	648	"[what]"
laif_30acaef2		Ты решаешь спросить, что он здесь забыл	game/script.rpy	649	"[what]"
laif_8ff0d622	g	Ты что-то хотел?	game/script.rpy	650	g "[what]"
laif_3f5892b1	"Мальчик"	Иди за мной	game/script.rpy	651	"Мальчик" "[what]"
walk1_4559f1de		Вы пошли за этим мальчиком	game/script.rpy	659	"[what]"
walk1_4333e5a2		Он привел вас к своему дому	game/script.rpy	660	"[what]"
walk1_ad6df06a	'Мальчик'	Меня зовут Киран	game/script.rpy	661	'Мальчик' "[what]"
walk1_31d5de24	"Киран"	Меня родители бьют каждый день	game/script.rpy	662	"Киран" "[what]"
help1_735f6356		Вы заходите в дом с этим мальчиком	game/script.rpy	672	"[what]"
help1_b18eb604		Вы видите большой беспорядок	game/script.rpy	673	"[what]"
help1_cc3d5e5b	"Киран"	Спрячься, пожалуйста	game/script.rpy	674	"Киран" "[what]"
help1_a7219269	'Киран'	Ты поймешь когда выходить	game/script.rpy	675	'Киран' "[what]"
help1_50e63ded		Вы спрятались и ждали	game/script.rpy	676	"[what]"
help1_4370fc0b		*Спустя минут 10*	game/script.rpy	677	"[what]"
help1_1712a0bb		Проснулся отец	game/script.rpy	678	"[what]"
help1_704f5f1a		Его глаза были наполнены гневом	game/script.rpy	679	"[what]"
help1_ccc6ae95		Вы в нем увидели сильного мечника под кличкой анти-маг	game/script.rpy	680	"[what]"
help1_c8190b8b		Вы решили не ждать и стали действовать	game/script.rpy	681	"[what]"
help1_eee96bb2		Вы оглушили его одним ударом	game/script.rpy	683	"[what]"
help1_fa2aac2f		ВЫ хуком справа отправили в нокаут	game/script.rpy	685	"[what]"
help1_fbbf8a45		Вы отправили его магическую тюрьму	game/script.rpy	687	"[what]"
help1_5839397a		На шум пришли стража	game/script.rpy	688	"[what]"
help1_df027491		Вы подумали что вас сейчас арестуют	game/script.rpy	689	"[what]"
help1_e2cef034		Но вам рассказали что он в последнее время стал вандалить из-за чего его хотели арестовать, но не у кого не выходило	game/script.rpy	690	"[what]"
nohelp1_a71f813b		Вы возращаетесь домой и узнаете, что весь город знает о вашем поступке	game/script.rpy	693	"[what]"
nohelp1_f1525dab		Больше о Киране, вы больше ничего не слышали	game/script.rpy	694	"[what]"
nowalk1_3dd70946		Вы решили не ходить за мальчиком	game/script.rpy	697	"[what]"
nowalk1_e986bfd8		Вы больше не слышали ничего об этом мальчике	game/script.rpy	698	"[what]"
nowalk1_558cfda0		ПЛОХАЯ КОНЦОВКА	game/script.rpy	699	"[what]"
snakomstvo_1_c854250a		Ты проводишь время с нею часами	game/script.rpy	703	"[what]"
snakomstvo_1_1edef62c		Она рассказывает то, что без вас все в столице грустили	game/script.rpy	704	"[what]"
snakomstvo_1_6b3c2685		А вы рассказывали, что вы работали не покладая рук, спасали родителей от бедности	game/script.rpy	705	"[what]"
snakomstvo_1_6ae2110d		Вы гуляли на аллее где когда-то ваша мама и папа встретили друг друга	game/script.rpy	706	"[what]"
snakomstvo_1_8deddb4a		Ромаааантика	game/script.rpy	707	"[what]"
snakomstvo_1_027836b3		Вечером вы попрощались с Розой и пошли домой	game/script.rpy	708	"[what]"
snakomstvo_1_57dd4c98		Вы договорились завтра встретиться на аллее	game/script.rpy	709	"[what]"
snakomstvo_1_ffb21537		Когда вы пришли на аллею, вы ее не нашли и решили ее подождать	game/script.rpy	711	"[what]"
snakomstvo_1_57e31528		Вы ждете уже час или два, но она так и не обьявилась	game/script.rpy	712	"[what]"
snakomstvo_1_7785cb23		Вы решили погулять по городу	game/script.rpy	713	"[what]"
snakomstvo_1_cdcbf7bc		Вы услышали женские крики из соседнего двора	game/script.rpy	714	"[what]"
snakomstvo_1_24b24ac7		Вы заглянули внутрь...	game/script.rpy	715	"[what]"
snakomstvo_1_5ea1ff3e	"Мужик"	Как ты посмела меня обмануть, ведьма	game/script.rpy	716	"Мужик" "[what]"
snakomstvo_1_2db87232	s	Никого я не обманывала!!!	game/script.rpy	717	s "[what]"
snakomstvo_1_491133c2	"Мужик"	ВРЕШЬ!	game/script.rpy	718	"Мужик" "[what]"
save_friend_26b8f1b9		Вы оттолкнули его порывом ветра	game/script.rpy	726	"[what]"
save_friend_7a16fa05		Ты ударяешь его так, что он теряет сознание	game/script.rpy	728	"[what]"
save_friend_481e9cc6		Ты душишь его до потери сознания	game/script.rpy	730	"[what]"
save_friend_0d57716e		Вы позвали охрану	game/script.rpy	732	"[what]"
save_friend1_a1179624		Она благодарит вас от всей души	game/script.rpy	737	"[what]"
save_friend1_b57210bc		Вам 18 лет	game/script.rpy	739	"[what]"
save_friend1_e403db36		Вы гуляли по парку	game/script.rpy	740	"[what]"
save_friend1_f3b4e4b8		Любовались его красотами	game/script.rpy	741	"[what]"
save_friend1_7888ab6a		И наслаждались пением птиц	game/script.rpy	742	"[what]"
save_friend1_6bf3914d		И вдруг из-за кустов	game/script.rpy	743	"[what]"
save_friend1_2ed4c8c5		Вылезает...	game/script.rpy	744	"[what]"
save_friend1_3419945b		РОЗАЛИЯ	game/script.rpy	745	"[what]"
save_friend1_a331b8e4		Она вас преследовала	game/script.rpy	746	"[what]"
save_friend1_c6ec4328	g	Привет, Розалия	game/script.rpy	747	g "[what]"
save_friend1_24aca71c	s	Ты что тут забыл?	game/script.rpy	748	s "[what]"
save_friend1_94524020	g	Да так, гулял	game/script.rpy	749	g "[what]"
save_friend1_e80dea37	s	А я тоже мимо проходила	game/script.rpy	750	s "[what]"
save_friend1_d62ac955		Ты любил Розу, она любила тебя	game/script.rpy	751	"[what]"
save_friend1_ce6d36d9		ХОРОШАЯ КОНЦОВКА	game/script.rpy	752	"[what]"
sopla_131608ce		Проходишь мимо игнорируя все	game/script.rpy	756	"[what]"
sopla_b4fbe8d2		В итоге, вы узнали что ее убили	game/script.rpy	757	"[what]"
sopla_4c1ec7bc		Не выдержав потерю друга, вы ушли в странствия по миру	game/script.rpy	758	"[what]"
sopla_d1e9a5bb		Больше никто вас не видел	game/script.rpy	759	"[what]"
sopla_558cfda0		ПЛОХАЯ КОНЦОВКА	game/script.rpy	760	"[what]"
no_2_3d971b49		Вы сидели в комнате пока туда не вломились враги и не убили вас	game/script.rpy	764	"[what]"
no_2_558cfda0		ПЛОХАЯ КОНЦОВКА	game/script.rpy	765	"[what]"
bad_end1_b8ad53bf		Все метались из стороны в сторону	game/script.rpy	769	"[what]"
bad_end1_2c49173e		В итоге вы только мешали и вас "случайно" убили	game/script.rpy	770	"[what]"
bad_end1_558cfda0		ПЛОХАЯ КОНЦОВКА	game/script.rpy	771	"[what]"
komnata3_efe58a4b		Вы стали знаменитым и могущественным магом	game/script.rpy	776	"[what]"
komnata3_127359eb		Оказываеться знахарь не наврал	game/script.rpy	777	"[what]"
komnata3_04466d66		В честь вас сделали школу "Магический королевский лицей №42 имени Кирана Великого"	game/script.rpy	778	"[what]"
komnata3_ce6d36d9		ХОРОШАЯ КОНЦОВКА	game/script.rpy	779	"[what]"
komnata3_71bae746		Вы стали самым непобедимым воином на белом свете никто с вами не мог сравниться	game/script.rpy	782	"[what]"
komnata3_879f95d2		Вы работали на королевскую армию	game/script.rpy	783	"[what]"
